          2026/2027 TOYOTA FULL-LINE PRICING
   ***Prices are Manufacturer’s Suggested Retail Prices (MSRP), and do not include
                     delivery, processing, and handling fee (DPH).
      ***DPH is as follows, and is in effect for all units scheduled for processing,
                 regardless of model year, on or after January 1, 2026:
                  - $2,195 for Large Pickup/Large SUV (Tundra, Sequoia)
                  - $1,745 for Small Pickup (Tacoma)
                  - $1,595 for Midsize SUV/Van (4Runner, Highlander, Grand
                     Highlander, Sienna, Land Cruiser)
                  - $1,595 for Small SUV (bZ, bZ Woodland, C-HR, Crown Signia,
                     RAV4, RAV4 Hybrid, RAV4 Plug-in Hybrid)
                  - $1,595 for Entry SUV (Corolla Cross, Corolla Cross Hybrid)
                  - $1,295 for Passenger Cars (Corolla, Corolla Hybrid, Corolla
                     Hatchback, Camry Hybrid, Crown, GR86, GR Corolla, GR
                     Supra, Prius, Prius Prime, Mirai)


MODEL #      MY                                MODEL                             MSRP
 8642       2026    4Runner 4x2 SR5                                             $41,370
 8643       2026    4Runner 4x2 TRD Sport                                       $48,350
 8644       2026    4Runner 4x2 TRD Sport Premium                               $53,710
 8648       2026    4Runner 4x2 Limited                                         $56,500
 8664       2026    4Runner 4x4 SR5                                             $43,870
 8670       2026    4Runner 4x4 TRD Off-Road                                    $50,290
 8671       2026    4Runner 4x4 TRD Sport                                       $50,350
 8673       2026    4Runner 4x4 TRD Sport Premium                               $55,710
 8672       2026    4Runner 4x4 TRD Off-Road Premium                            $56,070
 8668       2026    4Runner 4x4 Limited                                         $58,500
 8628       2026    4Runner 4x4 TRD Off-Road i-FORCE MAX                        $53,090
 8630       2026    4Runner 4x4 TRD Off-Road Premium i-FORCE MAX                $58,870
 8632       2026    4Runner 4x4 Limited i-FORCE MAX                             $61,300
 8638       2026    4Runner 4x4 Platinum i-FORCE MAX                            $63,960
 8636       2026    4Runner 4x4 Trailhunter i-FORCE MAX                         $68,000
 8634       2026    4Runner 4x4 TRD Pro i-FORCE MAX                             $68,200

                                              1
                                   Last updated 7/29/2026
2873   2026   bZ XLE FWD                             $34,900
2870   2026   bZ XLE FWD Plus                        $37,900
2872   2026   bZ XLE AWD                             $39,900
2880   2026   bZ Limited FWD                         $43,300
2882   2026   bZ Limited AWD                         $45,300

2860   2026   bZ Woodland                            $45,300
2861   2026   bZ Woodland Premium                    $47,400

2559   2026   Camry LE                               $29,600
2561   2026   Camry SE                               $32,100
2560   2026   Camry XLE                              $34,800
2557   2026   Camry XSE                              $36,000
2558   2026   Camry Nightshade Edition               $33,100
2552   2026   Camry LE AWD                           $31,125
2553   2026   Camry SE AWD                           $33,625
2555   2026   Camry XLE AWD                          $36,325
2556   2026   Camry XSE AWD                          $37,525
2551   2026   Camry Nightshade Edition AWD           $34,625

2416   2026   C-HR SE                                $37,000
2419   2026   C-HR XSE                               $39,000

6272   2027   Corolla Hatchback SE                   $24,780
6274   2027   Corolla Hatchback XSE                  $27,875
6277   2026   Corolla Hatchback FX Edition           $26,980
1852   2026   Corolla LE                             $22,925
1864   2026   Corolla SE                             $25,365
1866   2026   Corolla XSE                            $28,640
1882   2026   Corolla Hybrid LE                      $24,775
1886   2026   Corolla Hybrid SE                      $27,215
1892   2026   Corolla Hybrid XLE                     $29,140


                                       2
                            Last updated 7/29/2026
1883   2026   Corolla Hybrid LE AWD                 $26,175
1887   2026   Corolla Hybrid SE AWD                 $28,615

6301   2026   Corolla Cross L FWD                   $25,035
6303   2026   Corolla Cross LE FWD                  $27,365
6305   2026   Corolla Cross XLE FWD                 $29,960
6302   2026   Corolla Cross L AWD                   $26,335
6304   2026   Corolla Cross LE AWD                  $28,665
6306   2026   Corolla Cross XLE AWD                 $31,410
6312   2026   Corolla Cross Hybrid S AWD            $29,395
6314   2026   Corolla Cross Hybrid SE AWD           $30,715
6316   2026   Corolla Cross Hybrid XSE AWD          $33,430

6252   2026   GR86 AT                               $32,300
6253   2026   GR86 MT                               $31,200
6254   2026   GR86 Premium AT                       $34,900
6255   2026   GR86 Premium MT                       $33,800
6258   2026   GR86 Yuzu Edition AT                  $37,465
6259   2026   GR86 Yuzu Edition MT                  $36,365

6280   2026   GR Corolla Base AT                    $42,520
6281   2026   GR Corolla Base MT                    $40,520
6286   2026   GR Corolla Premium Plus AT            $48,565
6287   2026   GR Corolla Premium Plus MT            $46,565
6285   2026   GRMN Corolla MT                       $64,360

2372   2026   GR Supra 3.0 Base A/T RWD             $58,300
2374   2026   GR Supra 3.0 Premium A/T RWD          $61,450
2376   2026   GR Supra MkV Final Edition A/T RWD    $69,350
2383   2026   GR Supra 3.0 Base M/T RWD             $58,300
2385   2026   GR Supra 3.0 Premium M/T RWD          $61,450
2387   2026   GR Supra MkV Final Edition M/T RWD    $69,350



                                      3
                           Last updated 7/29/2026
6700   2026   Grand Highlander LE                        $42,260
6702   2026   Grand Highlander XLE                       $45,030
6704   2026   Grand Highlander LIMITED                   $49,760
6706   2026   Grand Highlander LE AWD                    $43,260
6708   2026   Grand Highlander XLE AWD                   $46,030
6710   2026   Grand Highlander LIMITED AWD               $51,360
6712   2026   Grand Highlander PLATINUM AWD              $55,445
6720   2026   Grand Highlander Hybrid LE AWD             $45,610
6716   2026   Grand Highlander Hybrid XLE                $46,780
6722   2026   Grand Highlander Hybrid XLE AWD            $48,380
6724   2026   Grand Highlander Hybrid LIMITED AWD        $53,110
6733   2026   Grand Highlander Hybrid NIGHTSHADE AWD     $54,090
6730   2026   Grand Highlander Hybrid MAX LIMITED AWD    $56,090
6732   2026   Grand Highlander Hybrid MAX PLATINUM AWD   $60,175


6953   2026   Highlander XLE AWD                         $46,270
6956   2026   Highlander Limited AWD                     $50,725
6957   2026   Highlander Platinum AWD                    $53,925
6959   2026   Highlander XSE AWD                         $48,340
6965   2026   Highlander Hybrid XLE AWD                  $48,020
6966   2026   Highlander Hybrid Limited AWD              $52,475
6967   2026   Highlander Hybrid Platinum AWD             $55,675


6165   2027   Land Cruiser 1958                          $58,080
6167   2027   Land Cruiser                               $62,925

3002   2026   Mirai Fuel Cell Sedan 4-Door               $51,795

1223   2027   Prius LE                                   $28,755
1225   2027   Prius XLE                                  $32,200
1216   2027   Prius Nightshade                           $33,005
1227   2027   Prius Limited                              $35,770
1263   2027   Prius LE AWD                               $30,155

                                       4
                            Last updated 7/29/2026
1265   2027   Prius XLE AWD                          $33,600
1266   2027   Prius Nightshade AWD                   $34,405
1268   2027   Prius Limited AWD                      $37,170


1235   2027   Prius Plug-in Hybrid SE                $33,980
1237   2027   Prius Plug-in Hybrid XSE               $37,230
1239   2027   Prius Plug-in Hybrid XSE Premium       $40,675
1233   2027   Prius Plug-in Hybrid Nightshade        $38,000

4521   2026   RAV4 Hybrid LE FWD                     $31,900
4435   2026   RAV4 Hybrid LE AWD                     $33,300
4523   2026   RAV4 Hybrid SE FWD                     $34,700
4524   2026   RAV4 Hybrid SE AWD                     $36,100
4437   2026   RAV4 Hybrid Woodland AWD               $39,900
4527   2026   RAV4 Hybrid XLE Premium FWD            $36,100
4444   2026   RAV4 Hybrid XLE Premium AWD            $37,500
4530   2026   RAV4 Hybrid XSE AWD                    $41,300
4534   2026   RAV4 Hybrid Limited AWD                $43,300

4544   2026   RAV4 Plug-in Hybrid SE                 $41,500
4537   2026   RAV4 Woodland Plug-in Hybrid           $45,300
4550   2026   RAV4 Plug-in Hybrid XSE                $47,200
4538   2026   RAV4 GR SPORT                          $48,500
                                                        $
7946   2026   Sequoia 4x2 SR5 iForce MAX             $65,725
7947   2026   Sequoia 4x4 SR5 iForce MAX             $68,725
7948   2026   Sequoia 4x2 Limited iForce MAX         $71,495
7949   2026   Sequoia 4x4 Limited iForce MAX         $74,495
7951   2026   Sequoia 4x4 Platinum iForce MAX        $81,735
7953   2026   Sequoia 4x4 TRD Pro iForce MAX         $82,465
7957   2026   Sequoia 4x4 1794 Edition iForce MAX    $82,550
7955   2026   Sequoia 4x4 Capstone iForce MAX        $86,135



                                       5
                            Last updated 7/29/2026
5402   2026   Sienna LE FWD 8-Passenger Hybrid            $40,420
5403   2026   Sienna LE AWD 8-Passenger Hybrid            $42,420
5406   2026   Sienna XLE FWD 7-Passenger Hybrid           $45,120
5407   2026   Sienna XLE AWD 7-Passenger Hybrid           $47,120
5408   2026   Sienna XLE FWD 8-Passenger Hybrid           $45,120
5409   2026   Sienna Woodland Edition AWD Hybrid          $51,200
5410   2026   Sienna XSE FWD Hybrid                       $48,345
5411   2026   Sienna XSE AWD 7-Passenger Hybrid           $49,235
5414   2026   Sienna Limited FWD 7-Passenger Hybrid       $51,105
5415   2026   Sienna Limited AWD 7-Passenger Hybrid       $53,105
5419   2026   Sienna Platinum AWD 7-Passenger Hybrid      $57,810

7162   2026   Tacoma 4x2 SR XtraCab LB                    $32,245
7186   2026   Tacoma 4x2 SR Double Cab SB                 $33,905
7514   2026   Tacoma 4x4 SR XtraCab LB                    $35,445
